0 M,,1 M,,2 M,,3 M,,1,5 M,,1,25 M,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
369.0700073,285.337616,369.0700073,363.9714355,369.0700073,598.8331909,369.0700073,652.5046387,369.0700073,500.7099609,369.0700073,404.1021118,
370,276.3769531,370,354.1492004,370,598.0733032,370,652.9936523,370,486.3304138,370,400.8648987,
371.0700073,268.0554199,371.0700073,337.7744751,371.0700073,574.2608643,371.0700073,631.0582886,371.0700073,471.6544495,371.0700073,387.4730225,
372,256.9356995,372,326.4425659,372,561.9697266,372,623.2037964,372,471.348114,372,374.5721436,
373.0700073,247.1665802,373.0700073,320.2910156,373.0700073,552.3687744,373.0700073,610.2371216,373.0700073,455.87323,373.0700073,366.8978882,
374,238.6312256,374,308.974762,374,545.899292,374,594.1116333,374,445.3765259,374,354.4003601,
375.0700073,227.1556244,375.0700073,300.9814148,375.0700073,541.3839722,375.0700073,584.737915,375.0700073,433.3687744,375.0700073,339.7513733,
376,220.6741638,376,291.7178955,376,522.8330078,376,569.6083374,376,424.2521973,376,338.964325,
377.0700073,210.670166,377.0700073,273.6232605,377.0700073,500.3548889,377.0700073,557.9510498,377.0700073,408.413208,377.0700073,316.6983948,
378,199.294342,378,268.3644104,378,492.6961975,378,540.8313599,378,401.3149414,378,312.0740662,
379.0700073,189.446701,379.0700073,255.8292084,379.0700073,480.2099304,379.0700073,527.0221558,379.0700073,391.6036072,379.0700073,300.7680359,
380,186.0919647,380,255.3299103,380,471.7897644,380,514.6521606,380,379.5360413,380,284.8342285,
381.0700073,176.215271,381.0700073,239.7327423,381.0700073,459.1836548,381.0700073,502.8241882,381.0700073,366.1209106,381.0700073,282.2256775,
382,167.0731049,382,232.7850647,382,446.1856689,382,485.3602295,382,352.5313721,382,276.5571594,
383.0700073,164.5202637,383.0700073,223.4427795,383.0700073,432.4208679,383.0700073,473.2801514,383.0700073,346.3084106,383.0700073,258.8770752,
384,158.3257446,384,215.896698,384,412.3774109,384,456.2206421,384,333.5177307,384,253.8690033,
385.0700073,150.9296112,385.0700073,205.3925934,385.0700073,406.2954712,385.0700073,446.9475403,385.0700073,329.2945251,385.0700073,246.2491913,
386,145.302475,386,196.0903473,386,395.7870483,386,431.4682922,386,320.3784485,386,238.2685242,
387.0700073,139.9152679,387.0700073,193.734024,387.0700073,385.9991455,387.0700073,418.9832153,387.0700073,307.9562988,387.0700073,226.1834412,
388,128.6962585,388,187.151947,388,378.0364685,388,414.183075,388,293.0278931,388,219.3560333,
389.0700073,123.9604416,389.0700073,180.0666809,389.0700073,358.4344482,389.0700073,401.6017151,389.0700073,286.2224731,389.0700073,209.6673889,
390,119.6266937,390,170.1765289,390,354.31604,390,393.1793518,390,276.4613953,390,204.7348785,
391.0700073,115.2258911,391.0700073,164.7977905,391.0700073,341.5546265,391.0700073,378.0174866,391.0700073,269.1839294,391.0700073,200.2179565,
392,111.4986496,392,159.1807404,392,331.2705383,392,365.1951904,392,258.5576172,392,188.5442963,
393.0700073,107.4105911,393.0700073,151.064682,393.0700073,318.6187439,393.0700073,343.6229248,393.0700073,252.7501221,393.0700073,181.6665649,
394,100.1883926,394,147.6945648,394,315.0802917,394,340.3163452,394,239.97995,394,178.1797333,
395.0700073,96.59385681,395.0700073,141.2666931,395.0700073,299.4073486,395.0700073,330.2037354,395.0700073,232.0840607,395.0700073,166.0103149,
396,95.86859131,396,134.1190033,396,295.7473755,396,322.8034973,396,228.6280975,396,164.1022491,
397.0700073,90.60936737,397.0700073,133.3371887,397.0700073,282.6463928,397.0700073,309.1221313,397.0700073,214.6568909,397.0700073,158.2183075,
398,88.9091568,398,125.4047318,398,276.3684998,398,301.2867126,398,211.3801117,398,153.1901703,
399.0700073,83.53781128,399.0700073,121.3378754,399.0700073,260.3676758,399.0700073,289.4202881,399.0700073,205.9910583,399.0700073,149.3811035,
400,82.38669586,400,116.5316391,400,258.4740906,400,283.3145142,400,201.0961456,400,140.5209808,
401.0700073,76.18452454,401.0700073,112.588707,401.0700073,250.9729919,401.0700073,276.3363342,401.0700073,195.6880188,401.0700073,138.6206512,
402,74.58378601,402,110.1014862,402,243.0977173,402,263.7749939,402,183.5882263,402,132.236969,
403.0700073,69.78536224,403.0700073,105.1948853,403.0700073,230.1054077,403.0700073,259.9931641,403.0700073,183.3683167,403.0700073,122.1858749,
404,68.82702637,404,100.1246109,404,220.7949677,404,248.526825,404,172.8668213,404,123.4147644,
405.0700073,64.71320343,405.0700073,97.71492004,405.0700073,214.0659332,405.0700073,237.4871063,405.0700073,163.7255554,405.0700073,117.2524643,
406,63.98332214,406,92.8141861,406,210.2677765,406,230.4996033,406,159.2249451,406,113.4492798,
407.0700073,61.54672241,407.0700073,89.12297058,407.0700073,204.4472656,407.0700073,226.9875183,407.0700073,154.7575531,407.0700073,107.3333359,
408,56.37707901,408,87.67654419,408,195.9702148,408,218.2037354,408,149.9151611,408,103.8791962,
409.0700073,53.5241127,409.0700073,82.11126709,409.0700073,192.1091156,409.0700073,212.1497498,409.0700073,142.7552948,409.0700073,99.65361023,
410,53.41386414,410,82.40032959,410,183.2443542,410,204.878952,410,141.6785736,410,93.93470001,
411.0700073,50.75922012,411.0700073,79.36243439,411.0700073,174.6177979,411.0700073,195.893158,411.0700073,133.851532,411.0700073,93.90623474,
412,47.87119293,412,73.91815948,412,169.1986847,412,193.3950653,412,129.9955597,412,88.85247803,
413.0700073,45.5658989,413.0700073,71.77114868,413.0700073,168.0366364,413.0700073,188.463974,413.0700073,126.7516327,413.0700073,88.55645752,
414,43.19838333,414,69.56989288,414,157.8517151,414,180.5722504,414,119.7692947,414,86.29011536,
415.0700073,42.49745941,415.0700073,69.03644562,415.0700073,153.2766418,415.0700073,171.355957,415.0700073,114.3899994,415.0700073,78.6807251,
416,40.38746643,416,64.80917358,416,144.5912933,416,167.8633575,416,112.1612701,416,75.92420959,
417.0700073,38.92728806,417.0700073,61.96895981,417.0700073,144.5055542,417.0700073,159.1310883,417.0700073,105.35569,417.0700073,75.30396271,
418,37.34485626,418,60.27505875,418,134.7639008,418,154.8074646,418,103.1185532,418,73.04714966,
419.0700073,37.0695076,419.0700073,56.46284485,419.0700073,131.4811707,419.0700073,153.8235626,419.0700073,100.5873718,419.0700073,68.99100494,
420,33.47024536,420,55.85106277,420,127.4967957,420,143.4790192,420,96.21265411,420,69.67513275,
421.0599976,34.66031647,421.0599976,54.66750336,421.0599976,122.1073074,421.0599976,137.3833618,421.0599976,97.53476715,421.0599976,64.51612854,
421.9599915,33.57759857,421.9599915,53.91573715,421.9599915,117.8536758,421.9599915,135.975647,421.9599915,89.04840851,421.9599915,62.7747612,
423.0299988,32.88260651,423.0299988,51.40472794,423.0299988,115.6565094,423.0299988,130.4966736,423.0299988,90.17397308,423.0299988,61.6866188,
423.9299927,30.46585083,423.9299927,48.557827,423.9299927,109.5222626,423.9299927,125.0080032,423.9299927,85.20709991,423.9299927,58.78245544,
425,30.74074173,425,48.36759186,425,107.0017929,425,123.6931763,425,81.46135712,425,57.17047882,
426.0599976,30.89023209,426.0599976,47.02288437,426.0599976,103.3320618,426.0599976,117.1660461,426.0599976,77.94919586,426.0599976,56.04793549,
426.9599915,27.68684578,426.9599915,45.67671204,426.9599915,99.41275787,426.9599915,115.7938004,426.9599915,77.14419556,426.9599915,55.96990967,
428.0299988,27.44904709,428.0299988,44.72136688,428.0299988,92.91188049,428.0299988,111.2172394,428.0299988,74.23955536,428.0299988,53.07332993,
